epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.4591,2.18999,1.65575,2.49279,0.70615,0.62543,0.74136,0.36242,3.04334,2.13903,3.03403,0.000329825,0.000329825,0.000329825
2,129.663,1.00811,0.78315,1.6582,0.99267,1,0.995,0.72337,0.8882,0.62095,1.62485,0.000641274,0.000641274,0.000641274
3,191.003,0.83056,0.63142,1.51467,0.99079,1,0.995,0.79699,0.6946,0.49944,1.44359,0.000930723,0.000930723,0.000930723
4,253.338,0.81265,0.60631,1.46849,0.9968,1,0.995,0.73642,0.93819,0.48317,1.64094,0.000901,0.000901,0.000901
5,314.864,0.75781,0.55171,1.42518,0.99491,1,0.995,0.69289,1.01807,0.53667,1.77741,0.000868,0.000868,0.000868
6,375.649,0.72732,0.53377,1.39727,0.99428,1,0.995,0.70612,0.885,0.44425,1.68054,0.000835,0.000835,0.000835
7,436.796,0.72201,0.52051,1.39135,0.99371,1,0.995,0.80394,0.73013,0.4234,1.39305,0.000802,0.000802,0.000802
8,497.952,0.67798,0.49049,1.3541,0.99123,1,0.995,0.72005,0.8852,0.42745,1.61617,0.000769,0.000769,0.000769
9,557.758,0.67989,0.47841,1.3523,0.99194,0.99885,0.995,0.755,0.81176,0.40359,1.48664,0.000736,0.000736,0.000736
10,616.042,0.6811,0.47698,1.35886,0.99426,1,0.995,0.7175,0.92762,0.4201,1.6573,0.000703,0.000703,0.000703
11,674.583,0.63503,0.4556,1.31315,0.9945,1,0.995,0.74223,0.87703,0.42168,1.60961,0.00067,0.00067,0.00067
12,732.5,0.63993,0.44711,1.31684,0.99449,0.99865,0.995,0.77411,0.72604,0.38481,1.39837,0.000637,0.000637,0.000637
13,789.857,0.62036,0.43774,1.30378,0.99458,1,0.995,0.8264,0.57902,0.36211,1.238,0.000604,0.000604,0.000604
14,850.412,0.6037,0.42349,1.28617,0.99252,1,0.995,0.80835,0.67712,0.36132,1.34284,0.000571,0.000571,0.000571
15,910.527,0.6048,0.42722,1.30036,0.99382,1,0.995,0.85407,0.57338,0.32205,1.2065,0.000538,0.000538,0.000538
16,970.913,0.59575,0.41684,1.2818,0.99363,1,0.995,0.85631,0.57173,0.3458,1.23117,0.000505,0.000505,0.000505
17,1031.25,0.59866,0.41436,1.28385,0.99492,1,0.995,0.85524,0.60726,0.33063,1.2414,0.000472,0.000472,0.000472
18,1091.47,0.58514,0.40376,1.26806,0.99236,1,0.995,0.85533,0.61115,0.3314,1.25413,0.000439,0.000439,0.000439
19,1153.42,0.58535,0.39437,1.27078,0.99376,1,0.995,0.8463,0.57802,0.3128,1.23162,0.000406,0.000406,0.000406
20,1214.95,0.55789,0.38319,1.25147,0.99353,1,0.995,0.86075,0.56326,0.31533,1.20774,0.000373,0.000373,0.000373
21,1282.07,0.28894,0.24283,1.16086,0.99162,1,0.995,0.85021,0.54818,0.30977,1.17699,0.00034,0.00034,0.00034
22,1340.9,0.26995,0.20138,1.12453,0.98944,1,0.995,0.86277,0.5699,0.30722,1.2032,0.000307,0.000307,0.000307
23,1400.72,0.25869,0.19885,1.11717,0.99191,1,0.995,0.86609,0.54222,0.29046,1.16536,0.000274,0.000274,0.000274
24,1460.27,0.24928,0.18843,1.10858,0.99229,1,0.995,0.86868,0.50651,0.28497,1.13465,0.000241,0.000241,0.000241
25,1519.9,0.24413,0.18099,1.09486,0.99258,1,0.995,0.86587,0.57268,0.29946,1.21161,0.000208,0.000208,0.000208
26,1578.58,0.24292,0.17607,1.09039,0.99471,1,0.995,0.87926,0.51325,0.2782,1.14162,0.000175,0.000175,0.000175
27,1637.67,0.23643,0.19086,1.08843,0.99776,1,0.995,0.86163,0.52267,0.28127,1.15492,0.000142,0.000142,0.000142
28,1696.32,0.22805,0.16739,1.07972,0.99306,1,0.995,0.88061,0.4932,0.27017,1.11261,0.000109,0.000109,0.000109
29,1754.24,0.21514,0.16548,1.06664,0.99307,1,0.995,0.88119,0.50335,0.27463,1.11987,7.6e-05,7.6e-05,7.6e-05
30,1811.45,0.22156,0.1618,1.07525,0.9926,1,0.995,0.87081,0.51654,0.27674,1.133,4.3e-05,4.3e-05,4.3e-05
